final_name	chr	start	stop	strand	prioritized	rank	sources_present	component_sources	component_names
Insilico_ref1981	chr12	36785876	36785893	+	N		insilico_ref	insilico_ref	Insilico_ref1981
Insilico_ref1982	chr12	36787234	36787251	+	N		insilico_ref	insilico_ref	Insilico_ref1982
Insilico_ref1983	chr12	36788593	36788610	+	N		insilico_ref	insilico_ref	Insilico_ref1983
Insilico_ref1984	chr12	36789952	36789969	+	N		insilico_ref	insilico_ref	Insilico_ref1984
Insilico_ref1985	chr12	36791312	36791329	+	N		insilico_ref	insilico_ref	Insilico_ref1985
Insilico_ref1986	chr12	36792672	36792689	+	N		insilico_ref	insilico_ref	Insilico_ref1986
Insilico_ref1987	chr12	36794032	36794049	+	N		insilico_ref	insilico_ref	Insilico_ref1987
Insilico_ref1988	chr12	36795391	36795408	+	N		insilico_ref	insilico_ref	Insilico_ref1988
Insilico_ref1989	chr12	36796750	36796767	+	N		insilico_ref	insilico_ref	Insilico_ref1989
Insilico_ref1990	chr12	36799568	36799585	+	N		insilico_ref	insilico_ref	Insilico_ref1990
Insilico_ref1991	chr12	36800928	36800945	+	N		insilico_ref	insilico_ref	Insilico_ref1991
Insilico_ref1992	chr12	36802288	36802305	+	N		insilico_ref	insilico_ref	Insilico_ref1992
Insilico_ref1993	chr12	36803647	36803664	+	N		insilico_ref	insilico_ref	Insilico_ref1993
Insilico_ref1994	chr12	36806360	36806377	+	N		insilico_ref	insilico_ref	Insilico_ref1994
Insilico_ref1995	chr12	36807719	36807736	+	N		insilico_ref	insilico_ref	Insilico_ref1995
Insilico_ref1996	chr12	36809077	36809094	+	N		insilico_ref	insilico_ref	Insilico_ref1996
Insilico_ref1997	chr12	36810434	36810451	+	N		insilico_ref	insilico_ref	Insilico_ref1997
Insilico_ref1998	chr12	36811789	36811806	+	N		insilico_ref	insilico_ref	Insilico_ref1998
Insilico_ref1999	chr12	36813148	36813165	+	N		insilico_ref	insilico_ref	Insilico_ref1999
Insilico_ref2000	chr12	36814847	36814864	+	N		insilico_ref	insilico_ref	Insilico_ref2000
Insilico_ref2001	chr12	36816205	36816222	+	N		insilico_ref	insilico_ref	Insilico_ref2001
Insilico_ref2002	chr12	36817564	36817581	+	N		insilico_ref	insilico_ref	Insilico_ref2002
Insilico_ref2003	chr12	36818923	36818940	+	N		insilico_ref	insilico_ref	Insilico_ref2003
Insilico_ref2004	chr12	36820283	36820300	+	N		insilico_ref	insilico_ref	Insilico_ref2004
Insilico_ref2005	chr12	36821643	36821660	+	N		insilico_ref	insilico_ref	Insilico_ref2005
Insilico_ref2248	chr12	36823001	36823018	+	N		insilico_ref	insilico_ref	Insilico_ref2248
Insilico_ref2006	chr12	36824360	36824377	+	N		insilico_ref	insilico_ref	Insilico_ref2006
Insilico_ref1034	chr12	36825719	36825736	+	N		insilico_ref	insilico_ref	Insilico_ref1034
Insilico_ref2249	chr12	36827078	36827095	+	N		insilico_ref	insilico_ref	Insilico_ref2249
Insilico_ref2007	chr12	36828438	36828455	+	N		insilico_ref	insilico_ref	Insilico_ref2007
Insilico_ref1035	chr12	36829797	36829814	+	N		insilico_ref	insilico_ref	Insilico_ref1035
Insilico_ref1036	chr12	36831156	36831173	+	N		insilico_ref	insilico_ref	Insilico_ref1036
Insilico_ref2250	chr12	36832513	36832530	+	N		insilico_ref	insilico_ref	Insilico_ref2250
Insilico_ref1037	chr12	36833872	36833889	+	N		insilico_ref	insilico_ref	Insilico_ref1037
Insilico_ref2008	chr12	36835232	36835249	+	N		insilico_ref	insilico_ref	Insilico_ref2008
Insilico_ref1038	chr12	36836590	36836607	+	N		insilico_ref	insilico_ref	Insilico_ref1038
Insilico_ref1039	chr12	36837950	36837967	+	N		insilico_ref	insilico_ref	Insilico_ref1039
Insilico_ref2251	chr12	36840668	36840685	+	N		insilico_ref	insilico_ref	Insilico_ref2251
Insilico_ref1040	chr12	36842027	36842044	+	N		insilico_ref	insilico_ref	Insilico_ref1040
Insilico_ref1041	chr12	36843386	36843403	+	N		insilico_ref	insilico_ref	Insilico_ref1041
Insilico_ref1042	chr12	36846104	36846121	+	N		insilico_ref	insilico_ref	Insilico_ref1042
Insilico_ref1043	chr12	36847458	36847475	+	N		insilico_ref	insilico_ref	Insilico_ref1043
Insilico_ref1044	chr12	36848817	36848834	+	N		insilico_ref	insilico_ref	Insilico_ref1044
Insilico_ref1045	chr12	36850176	36850193	+	N		insilico_ref	insilico_ref	Insilico_ref1045
Insilico_ref1046	chr12	36851537	36851554	+	N		insilico_ref	insilico_ref	Insilico_ref1046
Insilico_ref1047	chr12	36852896	36852913	+	N		insilico_ref	insilico_ref	Insilico_ref1047
Insilico_ref1048	chr12	36854255	36854272	+	N		insilico_ref	insilico_ref	Insilico_ref1048
Insilico_ref1049	chr12	36855606	36855623	+	N		insilico_ref	insilico_ref	Insilico_ref1049
Insilico_ref2252	chr12	36856951	36856968	+	N		insilico_ref	insilico_ref	Insilico_ref2252
Insilico_ref2253	chr12	36858310	36858327	+	N		insilico_ref	insilico_ref	Insilico_ref2253
Insilico_ref1050	chr12	36859668	36859685	+	N		insilico_ref	insilico_ref	Insilico_ref1050
Insilico_ref1051	chr12	36861027	36861044	+	N		insilico_ref	insilico_ref	Insilico_ref1051
Insilico_ref1052	chr12	36862388	36862405	+	N		insilico_ref	insilico_ref	Insilico_ref1052
Insilico_ref1053	chr12	36863748	36863765	+	N		insilico_ref	insilico_ref	Insilico_ref1053
Insilico_ref1054	chr12	36865109	36865126	+	N		insilico_ref	insilico_ref	Insilico_ref1054
Insilico_ref1055	chr12	36865788	36865805	+	N		insilico_ref	insilico_ref	Insilico_ref1055
Insilico_ref1056	chr12	36866469	36866486	+	N		insilico_ref	insilico_ref	Insilico_ref1056
Insilico_ref2009	chr12	36867827	36867844	+	N		insilico_ref	insilico_ref	Insilico_ref2009
Insilico_ref1057	chr12	36869185	36869202	+	N		insilico_ref	insilico_ref	Insilico_ref1057
Insilico_ref1058	chr12	36870543	36870560	+	N		insilico_ref	insilico_ref	Insilico_ref1058
Insilico_ref1059	chr12	36871902	36871919	+	N		insilico_ref	insilico_ref	Insilico_ref1059
Insilico_ref1060	chr12	36873261	36873278	+	N		insilico_ref	insilico_ref	Insilico_ref1060
Insilico_ref1061	chr12	36874620	36874637	+	N		insilico_ref	insilico_ref	Insilico_ref1061
Insilico_ref1062	chr12	36875979	36875996	+	N		insilico_ref	insilico_ref	Insilico_ref1062
Insilico_ref2010	chr12	36877337	36877354	+	N		insilico_ref	insilico_ref	Insilico_ref2010
Insilico_ref2011	chr12	36879035	36879052	+	N		insilico_ref	insilico_ref	Insilico_ref2011
Insilico_ref2012	chr12	36880396	36880413	+	N		insilico_ref	insilico_ref	Insilico_ref2012
Insilico_ref2013	chr12	36881753	36881770	+	N		insilico_ref	insilico_ref	Insilico_ref2013
Insilico_ref2014	chr12	36883111	36883128	+	N		insilico_ref	insilico_ref	Insilico_ref2014
Insilico_ref2015	chr12	36884469	36884486	+	N		insilico_ref	insilico_ref	Insilico_ref2015
Insilico_ref2016	chr12	36885827	36885844	+	N		insilico_ref	insilico_ref	Insilico_ref2016
Insilico_ref2017	chr12	36886507	36886524	+	N		insilico_ref	insilico_ref	Insilico_ref2017
Insilico_ref1063	chr12	36887867	36887884	+	N		insilico_ref	insilico_ref	Insilico_ref1063
Insilico_ref2018	chr12	36889227	36889244	+	N		insilico_ref	insilico_ref	Insilico_ref2018
Insilico_ref2019	chr12	36890586	36890603	+	N		insilico_ref	insilico_ref	Insilico_ref2019
Insilico_ref2020	chr12	36891944	36891961	+	N		insilico_ref	insilico_ref	Insilico_ref2020
Insilico_ref2021	chr12	36893304	36893321	+	N		insilico_ref	insilico_ref	Insilico_ref2021
Insilico_ref2022	chr12	36894663	36894680	+	N		insilico_ref	insilico_ref	Insilico_ref2022
Insilico_ref2023	chr12	36896022	36896039	+	N		insilico_ref	insilico_ref	Insilico_ref2023
Insilico_ref1064	chr12	36897383	36897400	+	N		insilico_ref	insilico_ref	Insilico_ref1064
Insilico_ref1065	chr12	36897723	36897740	+	N		insilico_ref	insilico_ref	Insilico_ref1065
Insilico_ref2024	chr12	36899079	36899096	+	N		insilico_ref	insilico_ref	Insilico_ref2024
Insilico_ref1066	chr12	36900438	36900455	+	N		insilico_ref	insilico_ref	Insilico_ref1066
Insilico_ref1067	chr12	36901794	36901811	+	N		insilico_ref	insilico_ref	Insilico_ref1067
Insilico_ref1068	chr12	36902814	36902831	+	N		insilico_ref	insilico_ref	Insilico_ref1068
Insilico_ref1069	chr12	36904173	36904190	+	N		insilico_ref	insilico_ref	Insilico_ref1069
Insilico_ref2025	chr12	36905532	36905549	+	N		insilico_ref	insilico_ref	Insilico_ref2025
Insilico_ref1070	chr12	36906891	36906908	+	N		insilico_ref	insilico_ref	Insilico_ref1070
Insilico_ref2026	chr12	36908590	36908607	+	N		insilico_ref	insilico_ref	Insilico_ref2026
Insilico_ref1071	chr12	36909950	36909967	+	N		insilico_ref	insilico_ref	Insilico_ref1071
Insilico_ref560	chr12	36910629	36910646	+	N		insilico_ref	insilico_ref	Insilico_ref560
Insilico_ref1072	chr12	36911309	36911326	+	N		insilico_ref	insilico_ref	Insilico_ref1072
Insilico_ref2027	chr12	36912666	36912683	+	N		insilico_ref	insilico_ref	Insilico_ref2027
Insilico_ref2028	chr12	36914027	36914044	+	N		insilico_ref	insilico_ref	Insilico_ref2028
Insilico_ref2029	chr12	36915389	36915406	+	N		insilico_ref	insilico_ref	Insilico_ref2029
Insilico_ref2030	chr12	36918784	36918801	+	N		insilico_ref	insilico_ref	Insilico_ref2030
Insilico_ref2031	chr12	36920477	36920494	+	N		insilico_ref	insilico_ref	Insilico_ref2031
Insilico_ref2032	chr12	36921836	36921853	+	N		insilico_ref	insilico_ref	Insilico_ref2032
Insilico_ref2033	chr12	36923196	36923213	+	N		insilico_ref	insilico_ref	Insilico_ref2033
Insilico_ref2034	chr12	36924555	36924572	+	N		insilico_ref	insilico_ref	Insilico_ref2034
Insilico_ref561	chr12	36925229	36925246	+	N		insilico_ref	insilico_ref	Insilico_ref561
Insilico_ref2035	chr12	36925909	36925926	+	N		insilico_ref	insilico_ref	Insilico_ref2035
Insilico_ref2036	chr12	36928288	36928305	+	N		insilico_ref	insilico_ref	Insilico_ref2036
Insilico_ref2037	chr12	36929647	36929664	+	N		insilico_ref	insilico_ref	Insilico_ref2037
Insilico_ref2038	chr12	36931008	36931025	+	N		insilico_ref	insilico_ref	Insilico_ref2038
Insilico_ref2039	chr12	36932367	36932384	+	N		insilico_ref	insilico_ref	Insilico_ref2039
Insilico_ref2040	chr12	36933724	36933741	+	N		insilico_ref	insilico_ref	Insilico_ref2040
Insilico_ref2041	chr12	36935083	36935100	+	N		insilico_ref	insilico_ref	Insilico_ref2041
Insilico_ref2042	chr12	36936438	36936455	+	N		insilico_ref	insilico_ref	Insilico_ref2042
Insilico_ref2043	chr12	36937793	36937810	+	N		insilico_ref	insilico_ref	Insilico_ref2043
Insilico_ref2044	chr12	36939148	36939165	+	N		insilico_ref	insilico_ref	Insilico_ref2044
Insilico_ref2045	chr12	36940508	36940525	+	N		insilico_ref	insilico_ref	Insilico_ref2045
Insilico_ref1073	chr12	36942207	36942224	+	N		insilico_ref	insilico_ref	Insilico_ref1073
Insilico_ref2046	chr12	36943561	36943578	+	N		insilico_ref	insilico_ref	Insilico_ref2046
Insilico_ref2047	chr12	36947639	36947656	+	N		insilico_ref	insilico_ref	Insilico_ref2047
Insilico_ref1074	chr12	36949338	36949355	+	N		insilico_ref	insilico_ref	Insilico_ref1074
Insilico_ref2048	chr12	36951036	36951053	+	N		insilico_ref	insilico_ref	Insilico_ref2048
Insilico_ref2049	chr12	36952397	36952414	+	N		insilico_ref	insilico_ref	Insilico_ref2049
Insilico_ref5166	chr12	36953076	36953093	+	N		insilico_ref	insilico_ref	Insilico_ref5166
Insilico_ref1075	chr12	36953756	36953773	+	N		insilico_ref	insilico_ref	Insilico_ref1075
Insilico_ref1076	chr12	36955114	36955131	+	N		insilico_ref	insilico_ref	Insilico_ref1076
Insilico_ref2050	chr12	36957832	36957849	+	N		insilico_ref	insilico_ref	Insilico_ref2050
Insilico_ref1077	chr12	36959191	36959208	+	N		insilico_ref	insilico_ref	Insilico_ref1077
Insilico_ref1078	chr12	36960547	36960564	+	N		insilico_ref	insilico_ref	Insilico_ref1078
Insilico_ref1079	chr12	36961901	36961918	+	N		insilico_ref	insilico_ref	Insilico_ref1079
Insilico_ref2051	chr12	36963256	36963273	+	N		insilico_ref	insilico_ref	Insilico_ref2051
Insilico_ref1080	chr12	36964615	36964632	+	N		insilico_ref	insilico_ref	Insilico_ref1080
Insilico_ref2052	chr12	36965293	36965310	+	N		insilico_ref	insilico_ref	Insilico_ref2052
Insilico_ref1081	chr12	36966693	36966710	+	N		insilico_ref	insilico_ref	Insilico_ref1081
Insilico_ref1082	chr12	36968156	36968173	+	N		insilico_ref	insilico_ref	Insilico_ref1082
Insilico_ref1083	chr12	36969515	36969532	+	N		insilico_ref	insilico_ref	Insilico_ref1083
Insilico_ref1084	chr12	36970874	36970891	+	N		insilico_ref	insilico_ref	Insilico_ref1084
Insilico_ref2053	chr12	36972231	36972248	+	N		insilico_ref	insilico_ref	Insilico_ref2053
Insilico_ref2054	chr12	36973587	36973604	+	N		insilico_ref	insilico_ref	Insilico_ref2054
Insilico_ref2055	chr12	36974266	36974283	+	N		insilico_ref	insilico_ref	Insilico_ref2055
Insilico_ref1085	chr12	36975626	36975643	+	N		insilico_ref	insilico_ref	Insilico_ref1085
Insilico_ref2056	chr12	36976983	36977000	+	N		insilico_ref	insilico_ref	Insilico_ref2056
Insilico_ref1086	chr12	36978343	36978360	+	N		insilico_ref	insilico_ref	Insilico_ref1086
Insilico_ref2057	chr12	36979703	36979720	+	N		insilico_ref	insilico_ref	Insilico_ref2057
Insilico_ref1087	chr12	36981063	36981080	+	N		insilico_ref	insilico_ref	Insilico_ref1087
Insilico_ref1088	chr12	36982419	36982436	+	N		insilico_ref	insilico_ref	Insilico_ref1088
Insilico_ref1089	chr12	36985135	36985152	+	N		insilico_ref	insilico_ref	Insilico_ref1089
Insilico_ref2058	chr12	36986495	36986512	+	N		insilico_ref	insilico_ref	Insilico_ref2058
Insilico_ref1090	chr12	36987855	36987872	+	N		insilico_ref	insilico_ref	Insilico_ref1090
Insilico_ref1091	chr12	36989215	36989232	+	N		insilico_ref	insilico_ref	Insilico_ref1091
Insilico_ref1092	chr12	36990574	36990591	+	N		insilico_ref	insilico_ref	Insilico_ref1092
Insilico_ref1093	chr12	36992273	36992290	+	N		insilico_ref	insilico_ref	Insilico_ref1093
Insilico_ref1094	chr12	36993632	36993649	+	N		insilico_ref	insilico_ref	Insilico_ref1094
Insilico_ref1095	chr12	36996352	36996369	+	N		insilico_ref	insilico_ref	Insilico_ref1095
Insilico_ref1096	chr12	36997710	36997727	+	N		insilico_ref	insilico_ref	Insilico_ref1096
Insilico_ref1097	chr12	36999068	36999085	+	N		insilico_ref	insilico_ref	Insilico_ref1097
Insilico_ref1098	chr12	37000428	37000445	+	N		insilico_ref	insilico_ref	Insilico_ref1098
Insilico_ref1099	chr12	37001787	37001804	+	N		insilico_ref	insilico_ref	Insilico_ref1099
Insilico_ref1100	chr12	37003146	37003163	+	N		insilico_ref	insilico_ref	Insilico_ref1100
Insilico_ref1101	chr12	37004505	37004522	+	N		insilico_ref	insilico_ref	Insilico_ref1101
Insilico_ref1102	chr12	37005866	37005883	+	N		insilico_ref	insilico_ref	Insilico_ref1102
Insilico_ref1103	chr12	37007224	37007241	+	N		insilico_ref	insilico_ref	Insilico_ref1103
Insilico_ref1104	chr12	37008582	37008599	+	N		insilico_ref	insilico_ref	Insilico_ref1104
Insilico_ref1105	chr12	37009945	37009962	+	N		insilico_ref	insilico_ref	Insilico_ref1105
Insilico_ref1106	chr12	37011636	37011653	+	N		insilico_ref	insilico_ref	Insilico_ref1106
Insilico_ref2059	chr12	37012994	37013011	+	N		insilico_ref	insilico_ref	Insilico_ref2059
Insilico_ref1107	chr12	37015033	37015050	+	N		insilico_ref	insilico_ref	Insilico_ref1107
Insilico_ref1108	chr12	37016388	37016405	+	N		insilico_ref	insilico_ref	Insilico_ref1108
Insilico_ref1109	chr12	37017745	37017762	+	N		insilico_ref	insilico_ref	Insilico_ref1109
Insilico_ref2060	chr12	37019104	37019121	+	N		insilico_ref	insilico_ref	Insilico_ref2060
Insilico_ref1110	chr12	37020463	37020480	+	N		insilico_ref	insilico_ref	Insilico_ref1110
Insilico_ref2061	chr12	37021819	37021836	+	N		insilico_ref	insilico_ref	Insilico_ref2061
Insilico_ref1111	chr12	37023178	37023195	+	N		insilico_ref	insilico_ref	Insilico_ref1111
Insilico_ref1112	chr12	37024536	37024553	+	N		insilico_ref	insilico_ref	Insilico_ref1112
Insilico_ref1113	chr12	37025895	37025912	+	N		insilico_ref	insilico_ref	Insilico_ref1113
Insilico_ref1114	chr12	37027252	37027269	+	N		insilico_ref	insilico_ref	Insilico_ref1114
Insilico_ref1115	chr12	37028611	37028628	+	N		insilico_ref	insilico_ref	Insilico_ref1115
Insilico_ref1116	chr12	37029971	37029988	+	N		insilico_ref	insilico_ref	Insilico_ref1116
Insilico_ref1117	chr12	37031330	37031347	+	N		insilico_ref	insilico_ref	Insilico_ref1117
Insilico_ref1118	chr12	37032683	37032700	+	N		insilico_ref	insilico_ref	Insilico_ref1118
Insilico_ref1119	chr12	37034042	37034059	+	N		insilico_ref	insilico_ref	Insilico_ref1119
Insilico_ref1120	chr12	37035401	37035418	+	N		insilico_ref	insilico_ref	Insilico_ref1120
Insilico_ref1121	chr12	37036759	37036776	+	N		insilico_ref	insilico_ref	Insilico_ref1121
Insilico_ref2062	chr12	37039478	37039495	+	N		insilico_ref	insilico_ref	Insilico_ref2062
Insilico_ref2063	chr12	37040157	37040174	+	N		insilico_ref	insilico_ref	Insilico_ref2063
Insilico_ref2064	chr12	37040837	37040854	+	N		insilico_ref	insilico_ref	Insilico_ref2064
Insilico_ref2065	chr12	37042196	37042213	+	N		insilico_ref	insilico_ref	Insilico_ref2065
Insilico_ref1122	chr12	37043555	37043572	+	N		insilico_ref	insilico_ref	Insilico_ref1122
Insilico_ref1123	chr12	37044916	37044933	+	N		insilico_ref	insilico_ref	Insilico_ref1123
Insilico_ref2066	chr12	37046276	37046293	+	N		insilico_ref	insilico_ref	Insilico_ref2066
Insilico_ref2067	chr12	37047632	37047649	+	N		insilico_ref	insilico_ref	Insilico_ref2067
Insilico_ref2068	chr12	37048988	37049005	+	N		insilico_ref	insilico_ref	Insilico_ref2068
Insilico_ref2069	chr12	37050349	37050366	+	N		insilico_ref	insilico_ref	Insilico_ref2069
Insilico_ref2070	chr12	37053072	37053089	+	N		insilico_ref	insilico_ref	Insilico_ref2070
Insilico_ref2071	chr12	37054430	37054447	+	N		insilico_ref	insilico_ref	Insilico_ref2071
Insilico_ref2072	chr12	37055785	37055802	+	N		insilico_ref	insilico_ref	Insilico_ref2072
Insilico_ref1124	chr12	37058504	37058521	+	N		insilico_ref	insilico_ref	Insilico_ref1124
Insilico_ref2073	chr12	37059863	37059880	+	N		insilico_ref	insilico_ref	Insilico_ref2073
Insilico_ref2074	chr12	37061223	37061240	+	N		insilico_ref	insilico_ref	Insilico_ref2074
Insilico_ref2075	chr12	37062580	37062597	+	N		insilico_ref	insilico_ref	Insilico_ref2075
Insilico_ref2076	chr12	37063939	37063956	+	N		insilico_ref	insilico_ref	Insilico_ref2076
Insilico_ref2077	chr12	37065299	37065316	+	N		insilico_ref	insilico_ref	Insilico_ref2077
Insilico_ref2078	chr12	37066658	37066675	+	N		insilico_ref	insilico_ref	Insilico_ref2078
Insilico_ref2079	chr12	37068017	37068034	+	N		insilico_ref	insilico_ref	Insilico_ref2079
Insilico_ref2080	chr12	37069377	37069394	+	N		insilico_ref	insilico_ref	Insilico_ref2080
Insilico_ref2081	chr12	37070736	37070753	+	N		insilico_ref	insilico_ref	Insilico_ref2081
Insilico_ref2082	chr12	37072095	37072112	+	N		insilico_ref	insilico_ref	Insilico_ref2082
Insilico_ref5167	chr12	37072775	37072792	+	N		insilico_ref	insilico_ref	Insilico_ref5167
Insilico_ref2083	chr12	37073455	37073472	+	N		insilico_ref	insilico_ref	Insilico_ref2083
Insilico_ref2084	chr12	37074815	37074832	+	N		insilico_ref	insilico_ref	Insilico_ref2084
Insilico_ref2085	chr12	37076174	37076191	+	N		insilico_ref	insilico_ref	Insilico_ref2085
Insilico_ref2086	chr12	37077533	37077550	+	N		insilico_ref	insilico_ref	Insilico_ref2086
Insilico_ref2087	chr12	37078889	37078906	+	N		insilico_ref	insilico_ref	Insilico_ref2087
Insilico_ref2088	chr12	37080248	37080265	+	N		insilico_ref	insilico_ref	Insilico_ref2088
Insilico_ref2254	chr12	37081608	37081625	+	N		insilico_ref	insilico_ref	Insilico_ref2254
Insilico_ref2089	chr12	37083302	37083319	+	N		insilico_ref	insilico_ref	Insilico_ref2089
Insilico_ref2090	chr12	37084659	37084676	+	N		insilico_ref	insilico_ref	Insilico_ref2090
Insilico_ref2091	chr12	37086018	37086035	+	N		insilico_ref	insilico_ref	Insilico_ref2091
Insilico_ref2092	chr12	37087378	37087395	+	N		insilico_ref	insilico_ref	Insilico_ref2092
Insilico_ref2093	chr12	37088737	37088754	+	N		insilico_ref	insilico_ref	Insilico_ref2093
Insilico_ref2094	chr12	37090089	37090106	+	N		insilico_ref	insilico_ref	Insilico_ref2094
Insilico_ref2255	chr12	37091448	37091465	+	N		insilico_ref	insilico_ref	Insilico_ref2255
Insilico_ref2095	chr12	37092806	37092823	+	N		insilico_ref	insilico_ref	Insilico_ref2095
Insilico_ref5168	chr12	37093481	37093498	+	N		insilico_ref	insilico_ref	Insilico_ref5168
Insilico_ref2256	chr12	37094160	37094177	+	N		insilico_ref	insilico_ref	Insilico_ref2256
Insilico_ref2257	chr12	37095519	37095536	+	N		insilico_ref	insilico_ref	Insilico_ref2257
Insilico_ref2258	chr12	37096878	37096895	+	N		insilico_ref	insilico_ref	Insilico_ref2258
Insilico_ref2096	chr12	37098236	37098253	+	N		insilico_ref	insilico_ref	Insilico_ref2096
Insilico_ref2259	chr12	37099591	37099608	+	N		insilico_ref	insilico_ref	Insilico_ref2259
Insilico_ref2097	chr12	37100950	37100967	+	N		insilico_ref	insilico_ref	Insilico_ref2097
Insilico_ref2260	chr12	37102309	37102326	+	N		insilico_ref	insilico_ref	Insilico_ref2260
Insilico_ref2098	chr12	37103670	37103687	+	N		insilico_ref	insilico_ref	Insilico_ref2098
Insilico_ref2261	chr12	37105033	37105050	+	N		insilico_ref	insilico_ref	Insilico_ref2261
Insilico_ref2099	chr12	37106392	37106409	+	N		insilico_ref	insilico_ref	Insilico_ref2099
Insilico_ref2262	chr12	37107752	37107769	+	N		insilico_ref	insilico_ref	Insilico_ref2262
Insilico_ref2263	chr12	37109108	37109125	+	N		insilico_ref	insilico_ref	Insilico_ref2263
Insilico_ref2100	chr12	37110467	37110484	+	N		insilico_ref	insilico_ref	Insilico_ref2100
Insilico_ref2264	chr12	37111826	37111843	+	N		insilico_ref	insilico_ref	Insilico_ref2264
Insilico_ref1125	chr12	37113186	37113203	+	N		insilico_ref	insilico_ref	Insilico_ref1125
Insilico_ref2265	chr12	37114546	37114563	+	N		insilico_ref	insilico_ref	Insilico_ref2265
Insilico_ref2266	chr12	37115901	37115918	+	N		insilico_ref	insilico_ref	Insilico_ref2266
Insilico_ref2101	chr12	37117261	37117278	+	N		insilico_ref	insilico_ref	Insilico_ref2101
Insilico_ref2102	chr12	37118619	37118636	+	N		insilico_ref	insilico_ref	Insilico_ref2102
Insilico_ref2267	chr12	37119298	37119315	+	N		insilico_ref	insilico_ref	Insilico_ref2267
Insilico_ref2268	chr12	37119978	37119995	+	N		insilico_ref	insilico_ref	Insilico_ref2268
Insilico_ref2103	chr12	37122696	37122713	+	N		insilico_ref	insilico_ref	Insilico_ref2103
Insilico_ref2104	chr12	37123376	37123393	+	N		insilico_ref	insilico_ref	Insilico_ref2104
Insilico_ref2269	chr12	37124731	37124748	+	N		insilico_ref	insilico_ref	Insilico_ref2269
Insilico_ref2105	chr12	37126091	37126108	+	N		insilico_ref	insilico_ref	Insilico_ref2105
Insilico_ref2106	chr12	37127450	37127467	+	N		insilico_ref	insilico_ref	Insilico_ref2106
Insilico_ref2270	chr12	37128808	37128825	+	N		insilico_ref	insilico_ref	Insilico_ref2270
Insilico_ref2107	chr12	37130167	37130184	+	N		insilico_ref	insilico_ref	Insilico_ref2107
Insilico_ref2108	chr12	37131526	37131543	+	N		insilico_ref	insilico_ref	Insilico_ref2108
Insilico_ref2109	chr12	37134246	37134263	+	N		insilico_ref	insilico_ref	Insilico_ref2109
Insilico_ref2110	chr12	37135605	37135622	+	N		insilico_ref	insilico_ref	Insilico_ref2110
Insilico_ref2111	chr12	37136965	37136982	+	N		insilico_ref	insilico_ref	Insilico_ref2111
Insilico_ref2112	chr12	37138324	37138341	+	N		insilico_ref	insilico_ref	Insilico_ref2112
Insilico_ref2113	chr12	37139683	37139700	+	N		insilico_ref	insilico_ref	Insilico_ref2113
Insilico_ref2114	chr12	37141042	37141059	+	N		insilico_ref	insilico_ref	Insilico_ref2114
Insilico_ref2115	chr12	37145456	37145473	+	N		insilico_ref	insilico_ref	Insilico_ref2115
Insilico_ref2116	chr12	37148174	37148191	+	N		insilico_ref	insilico_ref	Insilico_ref2116
Insilico_ref2117	chr12	37149532	37149549	+	N		insilico_ref	insilico_ref	Insilico_ref2117
Insilico_ref2118	chr12	37150892	37150909	+	N		insilico_ref	insilico_ref	Insilico_ref2118
Insilico_ref2119	chr12	37152253	37152270	+	N		insilico_ref	insilico_ref	Insilico_ref2119
Insilico_ref2120	chr12	37153611	37153628	+	N		insilico_ref	insilico_ref	Insilico_ref2120
Insilico_ref2121	chr12	37154967	37154984	+	N		insilico_ref	insilico_ref	Insilico_ref2121
Insilico_ref2122	chr12	37156326	37156343	+	N		insilico_ref	insilico_ref	Insilico_ref2122
Insilico_ref2123	chr12	37158026	37158043	+	N		insilico_ref	insilico_ref	Insilico_ref2123
Insilico_ref2124	chr12	37159385	37159402	+	N		insilico_ref	insilico_ref	Insilico_ref2124
Insilico_ref2125	chr12	37160743	37160760	+	N		insilico_ref	insilico_ref	Insilico_ref2125
Insilico_ref2126	chr12	37163461	37163478	+	N		insilico_ref	insilico_ref	Insilico_ref2126
Insilico_ref5169	chr12	37164140	37164157	+	N		insilico_ref	insilico_ref	Insilico_ref5169
Insilico_ref2127	chr12	37164820	37164837	+	N		insilico_ref	insilico_ref	Insilico_ref2127
Insilico_ref2128	chr12	37165499	37165516	+	N		insilico_ref	insilico_ref	Insilico_ref2128
Insilico_ref2129	chr12	37166179	37166196	+	N		insilico_ref	insilico_ref	Insilico_ref2129
Insilico_ref2130	chr12	37168897	37168914	+	N		insilico_ref	insilico_ref	Insilico_ref2130
Insilico_ref2131	chr12	37170256	37170273	+	N		insilico_ref	insilico_ref	Insilico_ref2131
Insilico_ref2132	chr12	37171615	37171632	+	N		insilico_ref	insilico_ref	Insilico_ref2132
Insilico_ref2133	chr12	37172974	37172991	+	N		insilico_ref	insilico_ref	Insilico_ref2133
Insilico_ref2134	chr12	37174333	37174350	+	N		insilico_ref	insilico_ref	Insilico_ref2134
Insilico_ref2135	chr12	37175693	37175710	+	N		insilico_ref	insilico_ref	Insilico_ref2135
Insilico_ref2136	chr12	37178412	37178429	+	N		insilico_ref	insilico_ref	Insilico_ref2136
Insilico_ref2137	chr12	37179769	37179786	+	N		insilico_ref	insilico_ref	Insilico_ref2137
Insilico_ref562	chr12	37180448	37180465	+	N		insilico_ref	insilico_ref	Insilico_ref562
